date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:55	39126/39126	---M-Z	200	added ('OK')	text/html	etag:W/%22639b029b-98d6%22	https://themewagon.github.io/jobfinderportal/index.html	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/index.html	(from )
10:39:55	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226801765c-239b%22	https://themewagon.github.io/robots.txt		(from )
10:39:55	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d248ca-24a3%22	https://themewagon.github.io/jobfinderportal/site.webmanifest	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/site.webmanifest	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:56	1150/1150	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22639b029a-47e%22	https://themewagon.github.io/jobfinderportal/assets/img/favicon.ico	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/img/favicon.ico	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:56	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-22688%22	https://themewagon.github.io/jobfinderportal/assets/css/bootstrap.min.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/bootstrap.min.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:56	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-b78%22	https://themewagon.github.io/jobfinderportal/assets/css/owl.carousel.min.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/owl.carousel.min.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:56	1325/1325	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-52d%22	https://themewagon.github.io/jobfinderportal/assets/css/flaticon.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/flaticon.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:57	6078/6078	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-17be%22	https://themewagon.github.io/jobfinderportal/assets/css/price_rangs.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/price_rangs.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:57	5732/5732	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-1664%22	https://themewagon.github.io/jobfinderportal/assets/css/slicknav.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/slicknav.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:57	56048/56048	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-daf0%22	https://themewagon.github.io/jobfinderportal/assets/css/animate.min.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/animate.min.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:57	6951/6951	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-1b27%22	https://themewagon.github.io/jobfinderportal/assets/css/magnific-popup.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/magnific-popup.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:58	34680/34680	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-8778%22	https://themewagon.github.io/jobfinderportal/assets/css/fontawesome-all.min.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/fontawesome-all.min.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:58	16452/16452	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-4044%22	https://themewagon.github.io/jobfinderportal/assets/css/themify-icons.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/themify-icons.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:58	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-6f0%22	https://themewagon.github.io/jobfinderportal/assets/css/slick.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/slick.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:58	4007/4007	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-fa7%22	https://themewagon.github.io/jobfinderportal/assets/css/nice-select.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/nice-select.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:58	103630/103630	---M-Z	200	added ('OK')	text/css	etag:W/%22639b029a-194ce%22	https://themewagon.github.io/jobfinderportal/assets/css/style.css	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/css/style.css	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:59	5507/5507	---M--	200	added ('OK')	image/png	etag:%22639b029b-1583%22	https://themewagon.github.io/jobfinderportal/assets/img/logo/logo.png	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/assets/img/logo/logo.png	(from https://themewagon.github.io/jobfinderportal/index.html)
10:39:59	37401/37401	---M-Z	200	added ('OK')	text/html	etag:W/%22639b029b-9219%22	https://themewagon.github.io/jobfinderportal/job_listing.html	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/job_listing.html	(from https://themewagon.github.io/jobfinderportal/index.html)
10:40:00	26374/26374	---M-Z	200	added ('OK')	text/html	etag:W/%22639b029a-6706%22	https://themewagon.github.io/jobfinderportal/about.html	C:/Users/91938/OneDrive/Desktop/JOB%20PORTAL/JOB%20PORTALM/themewagon.github.io/jobfinderportal/about.html	(from https://themewagon.github.io/jobfinderportal/index.html)
